,Date,NO2_nearest_1,PM10_nearest_1,NO2_nearest_2,O3_own,NO2_own,hour,day,month,day_of_week,code,lon,lat
0,2022-12-31 23:00:00,43.0,39.86,43.0,3.0,47.0,23,31,12,5,ES1148A,2.222245,41.425621
1,2023-01-01 00:00:00,39.0,39.86,41.0,3.0,47.0,0,1,1,6,ES1148A,2.222245,41.425621
2,2023-01-01 01:00:00,38.0,39.86,39.0,3.0,41.0,1,1,1,6,ES1148A,2.222245,41.425621
3,2023-01-01 02:00:00,38.0,39.86,36.0,3.0,39.0,2,1,1,6,ES1148A,2.222245,41.425621
4,2023-01-01 03:00:00,38.0,39.86,33.0,2.0,36.0,3,1,1,6,ES1148A,2.222245,41.425621
5,2023-01-01 04:00:00,32.0,39.86,30.0,3.0,33.0,4,1,1,6,ES1148A,2.222245,41.425621
6,2023-01-01 05:00:00,29.0,39.86,29.0,2.0,30.0,5,1,1,6,ES1148A,2.222245,41.425621
7,2023-01-01 06:00:00,27.0,39.86,28.0,3.0,27.0,6,1,1,6,ES1148A,2.222245,41.425621
8,2023-01-01 07:00:00,26.0,39.86,24.0,3.0,26.0,7,1,1,6,ES1148A,2.222245,41.425621
9,2023-01-01 08:00:00,28.0,39.86,25.0,5.0,26.0,8,1,1,6,ES1148A,2.222245,41.425621
10,2023-01-01 09:00:00,29.0,39.86,24.0,12.0,24.0,9,1,1,6,ES1148A,2.222245,41.425621
11,2023-01-01 10:00:00,29.0,39.86,26.0,17.0,28.0,10,1,1,6,ES1148A,2.222245,41.425621
12,2023-01-01 11:00:00,33.0,39.86,26.0,20.0,28.0,11,1,1,6,ES1148A,2.222245,41.425621
13,2023-01-01 12:00:00,41.0,39.86,20.0,39.0,17.0,12,1,1,6,ES1148A,2.222245,41.425621
14,2023-01-01 13:00:00,30.0,39.86,21.0,44.0,14.0,13,1,1,6,ES1148A,2.222245,41.425621
15,2023-01-01 14:00:00,23.0,39.86,20.0,42.0,14.0,14,1,1,6,ES1148A,2.222245,41.425621
16,2023-01-01 15:00:00,31.0,39.86,19.0,34.0,17.0,15,1,1,6,ES1148A,2.222245,41.425621
17,2023-01-01 16:00:00,56.0,39.86,29.0,11.0,35.0,16,1,1,6,ES1148A,2.222245,41.425621
18,2023-01-01 17:00:00,63.0,39.86,38.0,1.0,49.0,17,1,1,6,ES1148A,2.222245,41.425621
19,2023-01-01 18:00:00,53.0,39.86,45.0,1.0,59.0,18,1,1,6,ES1148A,2.222245,41.425621
20,2023-01-01 19:00:00,52.0,39.86,45.0,2.0,53.0,19,1,1,6,ES1148A,2.222245,41.425621
21,2023-01-01 20:00:00,47.0,39.86,44.0,2.0,48.0,20,1,1,6,ES1148A,2.222245,41.425621
22,2023-01-01 21:00:00,45.0,39.86,40.0,3.0,44.0,21,1,1,6,ES1148A,2.222245,41.425621
23,2023-01-01 22:00:00,46.0,39.86,35.0,3.0,42.0,22,1,1,6,ES1148A,2.222245,41.425621
24,2023-01-01 23:00:00,46.0,48.06,39.0,2.0,42.0,23,1,1,6,ES1148A,2.222245,41.425621
25,2023-01-02 00:00:00,38.0,48.06,37.0,2.0,38.0,0,2,1,0,ES1148A,2.222245,41.425621
26,2023-01-02 01:00:00,34.0,48.06,33.0,3.0,36.0,1,2,1,0,ES1148A,2.222245,41.425621
