,Date,NO2_nearest_1,PM10_nearest_1,NO2_nearest_2,O3_own,hour,day,month,day_of_week,code,lon,lat
0,2022-12-31 23:00:00,29.0,30.0,23.0,3.0,23,31,12,5,ES0694A,2.009802,41.39216
1,2023-01-01 00:00:00,34.0,30.0,22.0,2.0,0,1,1,6,ES0694A,2.009802,41.39216
2,2023-01-01 01:00:00,35.0,30.0,21.0,2.0,1,1,1,6,ES0694A,2.009802,41.39216
3,2023-01-01 02:00:00,33.0,30.0,25.0,2.0,2,1,1,6,ES0694A,2.009802,41.39216
4,2023-01-01 03:00:00,29.0,30.0,23.0,2.0,3,1,1,6,ES0694A,2.009802,41.39216
5,2023-01-01 04:00:00,27.0,30.0,18.0,5.0,4,1,1,6,ES0694A,2.009802,41.39216
6,2023-01-01 05:00:00,24.0,30.0,23.0,2.0,5,1,1,6,ES0694A,2.009802,41.39216
7,2023-01-01 06:00:00,23.0,30.0,18.0,2.0,6,1,1,6,ES0694A,2.009802,41.39216
8,2023-01-01 07:00:00,21.0,30.0,16.0,2.0,7,1,1,6,ES0694A,2.009802,41.39216
9,2023-01-01 08:00:00,19.0,30.0,13.0,6.0,8,1,1,6,ES0694A,2.009802,41.39216
10,2023-01-01 09:00:00,17.0,30.0,14.0,9.0,9,1,1,6,ES0694A,2.009802,41.39216
11,2023-01-01 10:00:00,21.0,30.0,13.0,17.0,10,1,1,6,ES0694A,2.009802,41.39216
12,2023-01-01 11:00:00,30.0,30.0,13.0,27.0,11,1,1,6,ES0694A,2.009802,41.39216
13,2023-01-01 12:00:00,32.0,30.0,19.0,25.0,12,1,1,6,ES0694A,2.009802,41.39216
14,2023-01-01 13:00:00,27.0,30.0,18.0,19.0,13,1,1,6,ES0694A,2.009802,41.39216
15,2023-01-01 14:00:00,25.0,30.0,20.0,23.0,14,1,1,6,ES0694A,2.009802,41.39216
16,2023-01-01 15:00:00,28.0,30.0,19.0,21.0,15,1,1,6,ES0694A,2.009802,41.39216
17,2023-01-01 16:00:00,42.0,30.0,16.0,7.0,16,1,1,6,ES0694A,2.009802,41.39216
18,2023-01-01 17:00:00,29.0,30.0,19.0,2.0,17,1,1,6,ES0694A,2.009802,41.39216
19,2023-01-01 18:00:00,25.0,30.0,24.0,2.0,18,1,1,6,ES0694A,2.009802,41.39216
20,2023-01-01 19:00:00,27.0,30.0,29.0,2.0,19,1,1,6,ES0694A,2.009802,41.39216
21,2023-01-01 20:00:00,23.0,30.0,27.0,2.0,20,1,1,6,ES0694A,2.009802,41.39216
22,2023-01-01 21:00:00,21.0,30.0,25.0,2.0,21,1,1,6,ES0694A,2.009802,41.39216
23,2023-01-01 22:00:00,16.0,30.0,21.0,2.0,22,1,1,6,ES0694A,2.009802,41.39216
24,2023-01-01 23:00:00,24.0,54.0,17.0,1.0,23,1,1,6,ES0694A,2.009802,41.39216
25,2023-01-02 00:00:00,25.0,54.0,16.0,1.0,0,2,1,0,ES0694A,2.009802,41.39216
26,2023-01-02 01:00:00,24.0,54.0,16.0,1.0,1,2,1,0,ES0694A,2.009802,41.39216
27,2023-01-02 02:00:00,23.0,54.0,13.0,1.0,2,2,1,0,ES0694A,2.009802,41.39216
28,2023-01-02 03:00:00,25.0,54.0,14.0,2.0,3,2,1,0,ES0694A,2.009802,41.39216
29,2023-01-02 04:00:00,23.0,54.0,20.0,2.0,4,2,1,0,ES0694A,2.009802,41.39216
